NF;Data emissão NF;Qtde. Volumes;CIA;CTRC;Data emissão CTE;Cód. Destinatário;Destinatário;Cidade Destino;UF;Agente Transporte;Tipo Agente;Data de inicio de transporte;Previsão;Data da entrega;Status;Ocorrência Entrega;Nome Recebedor;Status 2;Motivo;Status Parceiro
138831;45659;1;LOU01;8314;45659;1500001279;ANDAIMES MARILIA EQUIPAMENTOS PARA CONST;MARILIA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45659;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138832;45659;1;LOU01;8305;45659;44846673;O.F.PIRES MANUTENCAO E OPERACAO DE MAQUI;SETE LAGOAS;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138833;45659;1;LOU01;8316;45659;695748;PTA COM E LOC DE EQUIP LTDA;ARUJA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45659;45664;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138835;45659;1;LOU01;8313;45659;44789987;TRADIMAQ LTDA;CARIACICA;ES;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45659;45665;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138837;45659;1;LOU01;8302;45659;738980;AURABRASIL TRANSP MAQ E EQUIP LTDA;CONTAGEM;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138840;45659;1;LOU01;8301;45659;696038;A GERADORA ALUGUEL DE MAQUINAS S/A;FORTALEZA;CE;TERMACO TERM. M. CONT. SERV ACESS. LTDA;Transportadora;45659;45670;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138841;45659;1;LOU01;8300;45659;695010;A GERADORA ALUGUEL;NOSSA SENHORA DO SOCORRO;SE;TERMACO TERM. M. CONT. SERV ACESS. LTDA;Transportadora;45659;45671;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138842;45659;1;LOU01;8300;45659;695010;A GERADORA ALUGUEL;NOSSA SENHORA DO SOCORRO;SE;TERMACO TERM. M. CONT. SERV ACESS. LTDA;Transportadora;45659;45671;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138844;45659;1;LOU01;8315;45659;44999287;LOCALL LOCACAO DE EQUIPAMENTOS;JOINVILLE;SC;ALFA TRANSPORTES EIRELLI;Transportadora;45659;45664;45665;Entregue Fora do Prazo;Atraso na transferência entre filiais do transportador.;;Entrega Finalizada;Atraso Transferência;Entregue Fora do Prazo
138845;45659;1;LOU01;8303;45659;44822314;LOCALL LOCACAO DE MAQUINAS;SAO JOSE;SC;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138846;45659;2;LOU01;8322;45659;136404;TRADIMAQ LTDA;CONTAGEM;MG;XD BETIM;Agregado;45659;45664;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138847;45659;1;LOU01;8307;45659;136404;TRADIMAQ LTDA;CONTAGEM;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138848;45659;1;LOU01;8313;45659;44789987;TRADIMAQ LTDA;CARIACICA;ES;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45659;45665;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138849;45659;1;LOU01;8313;45659;44789987;TRADIMAQ LTDA;CARIACICA;ES;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45659;45665;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138850;45659;1;LOU01;8323;45659;694268;TRADIMAQ LTDA;TAUBATE;SP;XD DDA;Agregado;45659;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138851;45659;1;LOU01;8308;45659;694013;TRADIMAQ LTDA;GOIANIA;GO;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138852;45659;1;LOU01;8309;45659;694453;TRIANGULO LOCACOES DE GUINDASTES LTDA;UBERLANDIA;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138853;45659;1;LOU01;8312;45659;1500001247;TEREX LATIN AMERICA IND COM EQ CON LTDA;CARIACICA;ES;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45659;45665;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138854;45659;1;LOU01;8304;45659;615108;MOTORMAC RENTAL LOCACAO DE EQ. SA;PORTO ALEGRE;RS;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138855;45659;1;LOU01;8321;45659;725881;ORGUEL INDUST. E LOCACAO DE EQUIPAMENTOS;VESPASIANO;MG;XD BETIM;Agregado;45659;45664;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138856;45659;1;LOU01;8321;45659;725881;ORGUEL INDUST. E LOCACAO DE EQUIPAMENTOS;VESPASIANO;MG;XD BETIM;Agregado;45659;45664;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138857;45659;1;LOU01;8321;45659;725881;ORGUEL INDUST. E LOCACAO DE EQUIPAMENTOS;VESPASIANO;MG;XD BETIM;Agregado;45659;45664;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138858;45659;1;LOU01;8311;45659;732008;LOCGUEL LOCADORA DE EQUIPAMENTOS PARA CO;RIO DE JANEIRO;RJ;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45659;45664;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138859;45659;1;LOU01;8311;45659;732008;LOCGUEL LOCADORA DE EQUIPAMENTOS PARA CO;RIO DE JANEIRO;RJ;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45659;45664;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138860;45659;1;LOU01;8310;45659;726776;LOCGUEL LOCADORA DE EQUIPAMENTOS PARA CO;SERRA;ES;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45659;45665;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138861;45659;1;LOU01;8306;45659;17833985;RXR LOCACOES EIRELI;SETE LAGOAS;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138862;45659;1;LOU01;8306;45659;17833985;RXR LOCACOES EIRELI;SETE LAGOAS;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138863;45659;1;LOU01;8311;45659;732008;LOCGUEL LOCADORA DE EQUIPAMENTOS PARA CO;RIO DE JANEIRO;RJ;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45659;45664;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138864;45659;1;LOU01;8306;45659;17833985;RXR LOCACOES EIRELI;SETE LAGOAS;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45659;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
137609;45622;1;LOU01;8364;45660;695280;RENEO PANCA EPP;VARGEM GRANDE PAULISTA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45660;45665;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138834;45659;1;LOU01;8363;45660;2454418;SAFETY RENTALS COMERCIO E LOCACAO EQUIP;SAO PAULO;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45660;45660;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138836;45659;1;LOU01;8362;45660;45047104;MILLS LOCACAO SERVICOS E LOGISTICA S.A;JUNDIAI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45660;45660;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138839;45659;1;LOU01;8360;45660;694871;ESTAF EQUIPAMENTOS S/A;SANTANA DE PARNAIBA;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45660;45663;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138843;45659;1;LOU01;8361;45660;721550;LIDER PLATAFORMA COMERCIO E LOCACAO LTDA;OSASCO;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45660;45660;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138870;45660;1;LOU01;8404;45660;243781;LOCAR TRANSPORTES TECNICOS E GUINDASTES;GUARULHOS;SP;XD DDA;Agregado;45660;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138871;45660;1;LOU01;8412;45660;720458;C C L LOC DE MAQ E EQUIP LTDA-EPP;ANANINDEUA;PA;CARVALIMA TRANSP. LTDA;Transportadora;45660;45673;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138872;45660;1;LOU01;8403;45660;44829152;CORSI - RENTAL LTDA;SANTO ANDRE;SP;XD DDA;Agregado;45660;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138873;45660;1;LOU01;8407;45660;1500001045;D. E. RIBEIRO MAQUINAS - ME;HORTOLANDIA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45660;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138874;45660;1;LOU01;8400;45660;695365;ENTEC - MAQUINAS E EQUIPAMENTOS LTDA;MANAUS;AM;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45660;45670;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138875;45660;1;LOU01;8408;45660;695370;LOCAR GUINDASTES E TRANSP INTERMOD S/A;SUMARE;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45660;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138876;45660;1;LOU01;8405;45660;662531;MILLS ESTRUTURAS SERV DE ENGENH SA;CONTAGEM;MG;XD BETIM;Agregado;45660;45665;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138879;45660;1;LOU01;8409;45660;727041;LOCGUEL LOC DE EQUIP PARA CONSTRUCAO SA;CAMPINAS;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45660;45665;45660;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138881;45660;1;LOU01;8406;45660;725881;ORGUEL INDUST. E LOCACAO DE EQUIPAMENTOS;VESPASIANO;MG;XD BETIM;Agregado;45660;45665;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138882;45660;2;LOU01;8410;45660;44828844;ORGUEL IND LOC EQUIP S A;RIBEIRAO PRETO;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45660;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138883;45660;1;LOU01;8402;45660;44999141;PESA RENTAL LOCACOES S.A;CURITIBA;PR;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45660;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138884;45660;1;LOU01;8402;45660;44999141;PESA RENTAL LOCACOES S.A;CURITIBA;PR;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45660;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138885;45660;1;LOU01;8402;45660;44999141;PESA RENTAL LOCACOES S.A;CURITIBA;PR;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45660;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138886;45660;1;LOU01;8410;45660;44828844;ORGUEL IND LOC EQUIP S A;RIBEIRAO PRETO;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45660;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138887;45660;1;LOU01;8407;45660;1500001045;D. E. RIBEIRO MAQUINAS - ME;HORTOLANDIA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45660;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138889;45660;1;LOU01;8411;45660;695748;PTA COM E LOC DE EQUIP LTDA;ARUJA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45660;45665;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138893;45660;1;LOU01;8401;45660;730569;LOCGUEL LOC DE EQUIP CONSTRUCAO;FORTALEZA;CE;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45660;45666;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138894;45660;1;LOU01;8399;45660;44787913;ACESSO EQUIPAMENTOS;BELO HORIZONTE;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45660;45666;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138896;45660;2;LOU01;8413;45660;1500001068;DELTA MAQUINAS LTDA;ANANINDEUA;PA;CARVALIMA TRANSP. LTDA;Transportadora;45660;45673;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138897;45660;1;LOU01;8415;45660;726327;LOCGUEL LOCADORA DE EQUIPAMENTOS PARA CO;JABOATAO DOS GUARARAPES;PE;TERMACO TERM. M. CONT. SERV ACESS. LTDA;Transportadora;45660;45677;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138899;45660;1;LOU01;8414;45660;716415;TDL LOCACAO E MANUT DE MAQ E EQUIP LTDA;ANANINDEUA;PA;CARVALIMA TRANSP. LTDA;Transportadora;45660;45673;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138900;45660;1;LOU01;8416;45660;1500000958;TRIMAK ENGENHARIA E COMERCIO LTDA;SERRA;ES;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45660;45666;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138892;45660;1;LOU01;8406;45660;725881;ORGUEL INDUST. E LOCACAO DE EQUIPAMENTOS;VESPASIANO;MG;XD BETIM;Agregado;45660;45665;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138895;45660;1;LOU01;8406;45660;725881;ORGUEL INDUST. E LOCACAO DE EQUIPAMENTOS;VESPASIANO;MG;XD BETIM;Agregado;45660;45665;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138877;45660;1;LOU01;8438;45663;44778992;MILLS ESTRUTURA E SERVICOS DE ENGENHARIA;OSASCO;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45663;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138878;45660;1;LOU01;8439;45663;45047104;MILLS LOCACAO SERVICOS E LOGISTICA S.A;JUNDIAI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45663;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138880;45660;1;LOU01;8441;45663;1333304;URBE LOCACAO IND E COM DE EQUIPAMENTOS;OSASCO;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45663;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138888;45660;1;LOU01;8439;45663;45047104;MILLS LOCACAO SERVICOS E LOGISTICA S.A;JUNDIAI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45663;45663;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138890;45660;1;LOU01;8440;45663;1087453;TRIMAK ENGENHARIA E COMERCIO LTDA;CAIEIRAS;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45663;45664;45663;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138898;45660;1;LOU01;8484;45663;1500001045;D. E. RIBEIRO MAQUINAS - ME;HORTOLANDIA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45663;45666;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138901;45663;1;LOU01;8482;45663;667568;LOCACERTO SERV. DE LOCACAO DE EQUIP.;BARRA MANSA;RJ;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45663;45671;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138902;45663;1;LOU01;8486;45663;696184;MILLS ESTRUTURAS E SERV DE ENG S/A;RIO GRANDE;RS;ALFA TRANSPORTES EIRELLI;Transportadora;45663;45671;45670;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138903;45663;1;LOU01;8487;45663;44840619;MILLS LOCACAO SERVICOS E LOGISTICA S.A;CACHOEIRINHA;RS;ALFA TRANSPORTES EIRELLI;Transportadora;45663;45670;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138904;45663;1;LOU01;8475;45663;44917898;FORZA MANUTENCOES LTDA;DOURADOS;MS;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45663;45677;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138905;45663;1;LOU01;8487;45663;44840619;MILLS LOCACAO SERVICOS E LOGISTICA S.A;CACHOEIRINHA;RS;ALFA TRANSPORTES EIRELLI;Transportadora;45663;45670;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138906;45663;1;LOU01;8479;45663;243781;LOCAR TRANSPORTES TECNICOS E GUINDASTES;GUARULHOS;SP;XD DDA;Agregado;45663;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138907;45663;1;LOU01;8483;45663;1500001004;MILLS ESTRUTURAS E SERVICOS DE ENGENHARI;MACAE;RJ;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45663;45671;45667;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138908;45663;1;LOU01;8481;45663;216783;PAREX SERVICE LTDA;NOVA LIMA;MG;XD BETIM;Agregado;45663;45666;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138910;45663;1;LOU01;8476;45663;136404;TRADIMAQ LTDA;CONTAGEM;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45663;45667;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138911;45663;1;LOU01;8485;45663;692451;LOREZON LOC. DE EQUIP. ITU EIRELI;ITU;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45663;45666;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138912;45663;1;LOU01;8478;45663;1500000958;TRIMAK ENGENHARIA E COMERCIO LTDA;SERRA;ES;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45663;45667;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138913;45663;1;LOU01;8487;45663;44840619;MILLS LOCACAO SERVICOS E LOGISTICA S.A;CACHOEIRINHA;RS;ALFA TRANSPORTES EIRELLI;Transportadora;45663;45670;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138914;45663;1;LOU01;8484;45663;1500001045;D. E. RIBEIRO MAQUINAS - ME;HORTOLANDIA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45663;45666;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138916;45663;1;LOU01;8479;45663;243781;LOCAR TRANSPORTES TECNICOS E GUINDASTES;GUARULHOS;SP;XD DDA;Agregado;45663;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138917;45663;1;LOU01;8480;45663;662531;MILLS ESTRUTURAS SERV DE ENGENH SA;CONTAGEM;MG;XD BETIM;Agregado;45663;45666;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138919;45663;1;LOU01;8477;45663;694013;TRADIMAQ LTDA;GOIANIA;GO;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;45663;45667;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138437;45643;2;LOU01;8549;45664;44828844;ORGUEL IND LOC EQUIP S A;RIBEIRAO PRETO;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45664;45667;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138915;45663;1;LOU01;8540;45664;44939905;DCCO LOCADORA DE MAQUINAS E EQUIPAMENTOS;BRASILIA;DF;MIRA OTM TRANSP LTDA;Transportadora;45664;45670;45670;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138918;45663;1;LOU01;8510;45664;703905;RENTAL MASTER LOC DE MAQ E EQUIPAMENTOS;BARUERI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45664;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138920;45663;1;LOU01;8509;45664;45047104;MILLS LOCACAO SERVICOS E LOGISTICA S.A;JUNDIAI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45664;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138921;45663;2;LOU01;8536;45664;44829152;CORSI - RENTAL LTDA;SANTO ANDRE;SP;XD DDA;Agregado;45664;45665;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138922;45663;1;LOU01;8551;45664;738151;TOTAL PLATAFORMAS COM E MAR EQ LTDA;ITAJAI;SC;ALFA TRANSPORTES EIRELLI;Transportadora;45664;45671;45671;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138923;45663;1;LOU01;8541;45664;726776;LOCGUEL LOCADORA DE EQUIPAMENTOS PARA CO;SERRA;ES;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;45664;45670;45667;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138924;45663;2;LOU01;8509;45664;45047104;MILLS LOCACAO SERVICOS E LOGISTICA S.A;JUNDIAI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45664;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138925;45664;1;LOU01;8509;45664;45047104;MILLS LOCACAO SERVICOS E LOGISTICA S.A;JUNDIAI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45664;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138926;45664;1;LOU01;8509;45664;45047104;MILLS LOCACAO SERVICOS E LOGISTICA S.A;JUNDIAI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45664;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138927;45664;1;LOU01;8509;45664;45047104;MILLS LOCACAO SERVICOS E LOGISTICA S.A;JUNDIAI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45664;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138928;45664;1;LOU01;8530;45664;44828007;MILLS ESTRUTURA;SINOP;MT;CARVALIMA TRANSP. LTDA;Transportadora;45664;45674;45668;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138929;45664;1;LOU01;8509;45664;45047104;MILLS LOCACAO SERVICOS E LOGISTICA S.A;JUNDIAI;SP;FRANCISCHINI TRANSPORTADORA DE CARGAS LT;Transportadora;45664;45664;45664;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138930;45664;1;LOU01;8532;45664;707619;MILLS ESTRUTURAS E SERVICOS DE ENG;ARACAJU;SE;TERMACO TERM. M. CONT. SERV ACESS. LTDA;Transportadora;45664;45672;45672;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138932;45664;2;LOU01;8537;45664;6500057655;JAAL COMERCIO E SERVICOS LTDA;SAO JOSE DOS CAMPOS;SP;XD DDA;Agregado;45664;45666;45666;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138933;45664;1;LOU01;8531;45664;690529;MILLS ESTRUTURAS E SERVICOS DE ENGENHARI;CUIABA;MT;CARVALIMA TRANSP. LTDA;Transportadora;45664;45671;45670;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138934;45664;1;LOU01;8545;45664;1500001045;D. E. RIBEIRO MAQUINAS - ME;HORTOLANDIA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45664;45667;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138935;45664;1;LOU01;8545;45664;1500001045;D. E. RIBEIRO MAQUINAS - ME;HORTOLANDIA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;45664;45667;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138936;45664;1;LOU01;8538;45664;243781;LOCAR TRANSPORTES TECNICOS E GUINDASTES;GUARULHOS;SP;XD DDA;Agregado;45664;45665;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138937;45664;1;LOU01;8538;45664;243781;LOCAR TRANSPORTES TECNICOS E GUINDASTES;GUARULHOS;SP;XD DDA;Agregado;45664;45665;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138938;45664;1;LOU01;8538;45664;243781;LOCAR TRANSPORTES TECNICOS E GUINDASTES;GUARULHOS;SP;XD DDA;Agregado;45664;45665;45665;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
